video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"tJDmfUKSn18","AS FÉRIAS DOS FLOPS - Episódio 1 (Web Série)","2019-12-08T15:19:08.000Z","UCNmBUECIkUyPr2hxIAT3vzw","Lucas Rangel","23","19.08.12","Lucas Rangel|Dani Diz|Fu Andrade|Matheus Borges|Os Flops|Viih Tube|Franciny Ehlke|uJoaozinho|Bruno Alcântara|Gabriel Kater|web série|férias|As férias dos Flops|serie dos flops|nova serie|episodio 1|ep 1|parte 1","477143","108286","1095","5939","https://i.ytimg.com/vi/tJDmfUKSn18/default.jpg","False","False","NOVOS EPISÓDIOS TODO DOMINGO, 12HELENCO@AnaLuizaAndrad como FU@Ananda como ALICE@Br_Alcantara_ como BOB@DanielleDiz como DANI@FrancinyEhlke como BELA@Gakater como LIPE@MatheusGBorges como MATHEUS@LucasRanngel como LUCAS@uJoaozinho como CHINELO@ViihTube como DORAEspero que tenha se divertido com o vídeo!! Deus te abençoe :)#AsFeriasDosFlops"
"cZxJ4sYyjS4","NOVO INTEGRANTE DA FAMÍLIA LOURES !!!","2019-12-08T15:12:27.000Z","UCvuJTWl_peL49CUfF2EAbyg","Camila Loures","24","19.08.12","camila|loures|NOVO INTEGRANTE DA FAMÍLIA LOURES !!!","493064","91471","949","6511","https://i.ytimg.com/vi/cZxJ4sYyjS4/default.jpg","False","False","LINK DO LIVRÃO CAMILA LOURES : https://www.camilaloureslivros.com.br/index.php?route=product/product&product_id=1MOSTRA ESSE CANAL PRA ALGUEM, UM DIA TEREMOS 50 MILHÕES DE INSCRITOS!! SEJA MEMBRO AQUI DO CANALhttps://www.youtube.com/channel/UCvuJTWl_peL49CUfF2EAbyg/joinCANAL DO PH LOURES: https://www.youtube.com/user/phlouresINSTAGRAM: https://www.instagram.com/camilaloures/?hl=ptTWITTER:  https://twitter.com/camilaloures?lang=ptPERFIL NO FACEBOOK: https://www.facebook.com/camila.loures.9EMAIL PARA CONTATO: contatocamilaloures@gmail.com"
"ldi3nNwuAZA","Escolhemos o Nome do nosso Filho","2019-12-08T15:00:09.000Z","UCcHR0RvLYk33ppkjBw3UaEA","Mari Maria","24","19.08.12","yt:quality=high","488017","92109","330","3175","https://i.ytimg.com/vi/ldi3nNwuAZA/default.jpg","False","False","✅ MARI MARIA MAKEUP ®: http://www.marimariamakeup.com ✅ CONTATO: marimaria@marimariamakeup.com💕 Instagram: https://www.instagram.com/marimariamakeup💕 Facebook: https://www.facebook.com/makebymarimaria💕 Musical.ly : @marimariamakeup🔥Veja TAMBÉM ESSES VÍDEOS! LINKS:🔥 Testei o Iluminador MAIS POTENTE DO MUNDO: https://www.youtube.com/watch?v=aL6L8fEUlOs&t=266s🔥 PRODUTOS BARATINHOS: https://www.youtube.com/watch?v=wDt1Do4u33o&t=27s🔥 RECEITAS CASEIRAS CABELO: https://www.youtube.com/watch?v=0X3h7pb6L80&t=1s 🔥 REBOCO DE QUALIDADE: https://www.youtube.com/watch?v=cAZeLrd_VIU&t=42s🔥 ERROS X ACERTOS: https://www.youtube.com/watch?v=dQ3QG_BVNAs&t=1s"
"6UXHmBPvOHk","TUDO QUE ELA DESENHAR EU VOU FAZER! (Rolou Beijo)","2019-12-07T21:29:20.000Z","UC45zwHCRNT5jA8sC5DUW7oQ","uJoãozinho","24","19.08.12","ujoãozinho|ujoaozinho|desafio|dezafio|tudo que eu desenhar|desenhar|desenho|challenge|beijo|carol|carol bresolin|ujoãozinho e carol|tudo que ela desenhar|tudo que minha","683097","85580","1793","3979","https://i.ytimg.com/vi/6UXHmBPvOHk/default.jpg","False","False","Thanks to #BangEnergy for sponsoring this video! It's the best-tasting energy drink on the market! #EnergyDrinkFollow the inventor of @BangEnergy on Instagram @BangEnergy. CEOUse My Code JOAO25 for 25% discount on your order https://bang-energy.com/Me sigam no instagram: @ujoaozinhoCodigo do uber para desconto: bqfz4sccue  ⬅️(usem)♚ CONTATO  : ujoaozinhocontato@gmail.com"
"2GB524ls5-s","La Casa de Papel 4 | Anúncio de estreia | Netflix","2019-12-08T17:00:01.000Z","UCc1l5mTmAv2GC_PXrBpqyKQ","Netflix Brasil","24","19.08.12","LCDP|Darko Peric|Bella Ciao|Ursula Corberó|Money Heist 4|Data|El Profesor|La Casa de Papel 4|La Casa de Papel|Trailer|Alvaro Morte|Jaime Lorente|Esther Acebo|Itziar Ituño|Miguel Herrán|LCpa4DP!!!|Money Heist","83505","13316","100","733","https://i.ytimg.com/vi/2GB524ls5-s/default.jpg","False","False","Deixe o caos começar."
"aTE-mm736hc","CAMA ELASTICA DE PISCINA ‹ EduKof ›","2019-12-08T14:00:00.000Z","UCrGnb5RdHA9M6WGmBGYo4ZQ","AM3NlC","22","19.08.12","VLOG|Estados|Unidos|EUA|Brasil|Brazil|Breakmen|Casa|House","287221","40576","324","647","https://i.ytimg.com/vi/aTE-mm736hc/default.jpg","False","False","Seja Membro Exclusivo: https://bit.ly/2M6HN1kRoupas Breakmen: https://www.breakmenshop.comCanal de Games: https://goo.gl/BHD7sB♦ Redes Sociais:Snapchat: dudukofInstagram: http://goo.gl/hYNGE6 @EduKofTwitter: https://goo.gl/feFHSj @EduKof♦ Contato Comercial: contato-edukof@hotmail.com♦ ChipArt Sociais:MEU COMPUTADOR: https://goo.gl/XUe9UVCanal: https://www.youtube.com/user/CanalChipartFacebook: https://www.facebook.com/chipart.informatica#EduKof #Breakmen"
"ynbJ195nWXE","Show Anitta Made in Honório | #LiveInMadureira","2019-12-08T00:01:53.000Z","UCpmFzGl0dd8w4xV1LIy896g","Claro Brasil","10","19.08.12","LiveInMadureira|Anitta|Show ao vivo|Live|Madureira|Live In Honório|Show Anitta|Claro Brasil|Claro","322615","21799","1195","2205","https://i.ytimg.com/vi/ynbJ195nWXE/default.jpg","False","False","🔴 Galera, já tá rolando o Show @Anitta Made in Honório ao vivo e exclusivo aqui no Youtube da Claro! Assista com a gente e comente com #LiveInMadureira, que seu post pode aparecer na transmissão. 😉"
"WnnnGApPgw0","MEU NOVO SETUP GAMER DENTRO DO MEU QUARTO","2019-12-08T14:45:00.000Z","UChMJkHCD2wdvSO7CMOuLR-w","Renato Garcia","24","19.08.12","RENATO GARCIA|RENATO DA XJ6|RENATO|CAMARO|DAILY VLOG","266908","55238","454","2259","https://i.ytimg.com/vi/WnnnGApPgw0/default.jpg","False","False","SITE DA PICHAU: http://bit.ly/PichauRenatoINTAGRAM : https://www.instagram.com/pichauoficial/?hl=pt-brMinha Loja: https://www.lojarenatogarcia.com.br/MercadoLivre: https://eshops.mercadolivre.com.br/LOJARENATOGARCIA ●Instagram: https://www.instagram.com/renatogarciayt●Twitter: https://twitter.com/renatogarciayt●Facebook: https://www.facebook.com/renatogarciayoutubeME ENVIE PRESENTES ! Caixa Postal: 8748CEP: 86020980LONDRINA - PR MEU SEGUNDO CANAL: https://www.youtube.com/channel/UClUN2J5hwEsE6_sKW3SPlMg●Contato para parcerias e eventos: renatogarcia.comercial@gmail.com"
"v9n7JrbsBJw","SIAMÊS UNIVERSITÁRIO","2019-12-08T14:00:10.000Z","UCEWHPFNilsT0IfQfutVzsag","Porta dos Fundos","24","19.08.12","porta dos fundos|kibe loco|fabio porchat|gregorio duviver|ian sbf|antonio tabet|joão vicente de castro|comedia|humor|engraçado|funny|comedy|risos|risadas|hilario|bizarro|parodia|satira|cotidiano|o limite do humor|música|sertanejo|dupla sertaneja|siamês|siameses|programa|apresentadora|entrevistadora|entrevista|tv|talk show|hit|lançamento|cantores|irmãos|briga|wifi|senha","413364","52055","1420","1150","https://i.ytimg.com/vi/v9n7JrbsBJw/default.jpg","False","False","Todo mundo sabe que o Zezé de Camargo e Luciano eram siameses. Foram separados, e o Zezé ficou com o talento. Bruno e Marrone também. Marrone ficou com o helicóptero e o Bruno dormiu na praça. Chitãozinho e Xororó, a mesma história. Um ficou com a família famosa e o outro com um chapéu de cowboy.ELENCOEvelyn CastroFabio PorchatRafael PortugalGregorio DuvivierMAKING OF: https://youtu.be/Pa6wx8AL6CUBAIXE O APP DO PORTAAndroid: http://bit.ly/2zcxLZOiOS: https://apple.co/2IW633jTRADUÇÃO E LEGENDAGEMDispositivaJosniel RodriguezEsse é o canal Porta dos Fundos. Lançamos vídeos todas as segundas, quintas e sábados às 11h."
"gCYK7JtNqSc","Famosos que casaram com pessoas que SÓ O AMOR EXPLICA","2019-12-08T13:00:08.000Z","UCV306eHqgo0LvBf3Mh36AHg","Felipe Neto","24","19.08.12","felipe neto|irmãos neto|bruno correa|bruno corrêa|julia roberts|britney|spears|fifth harmony|camila cabello|ed sheeran|natalie portman|cisne negro|oscar|a mexicana|brad pitt|hollywood|paul rudd|homem formiga|friends|40 anos|neymar|buna marquezine","665669","148711","1349","4325","https://i.ytimg.com/vi/gCYK7JtNqSc/default.jpg","False","False","Imagina esbarrar com o Chay Suede, apenas trocar olhares e... CASAMENTO! Pois é, isso nunca vai acontecer, mas tem muita gente com sorte no mundo e nesse vídeo você vai conhecer quem deu match. Confira!COMPRE O LIVRO NOVO! - https://www.felipenetolivros.com.br/SEJA MEMBRO! - https://www.youtube.com/felipeneto/joinVÍDEO EM QUE FALAMOS O NOME REAL DO BRUNO MARS - https://youtu.be/ZN60URH6JIE"
